text,label
spent 242 on mortgage,Housing
395 for pharmacy,Healthcare
tolls,Transport
spent 58k on coffee,Food
spent 95 on laptop,Shopping
paid for clothes,Shopping
just paid 291 for clinic,Healthcare
electricity cost,Utilities
paid 388000 towards trash,Utilities
paid for amazon,Shopping
paid for theater,Entertainment
33k for concert,Entertainment
cell plan 73300,Utilities
lunch cost me 268200,Food
docccctooor!! 99999999,Healthcare
tolls,Transport
paid 31k towards kfc,Food
just paid 246300 for pizza,Food
just paid 45k for electronics,Shopping
paid for netflix,Healthcare
bowling,Entertainment
checkup 27k,Healthcare
got eye exam - 206600,Healthcare
snacks,Food
hospital bill,Entertainment
shoes cost me 48k,Shopping
spent 450400 on movie,Entertainment
paid 95k for checkup,Healthcare
just paid 494 for lunch,Food
cost of meal was 6800,Food
just paid 15k for amazon,Shopping
cafe,Food
pizza,Food
spent 232300 on laptop,Shopping
paid 317300 for flight,Transport
got sneakers - 27,Shopping
unknown charge,
cost of burger was 317,Food
paid for netflix,Healthcare
target 34k,Shopping
paid for tolls,Transport
paid 343800 for maintenance,Housing
295 for kfc,Food
just paid 258900 for ikea,Housing
paid 65k towards shirts,Shopping
paid 89 towards party,Entertainment
425 for coffee,Food
pharmacy,Healthcare
broadband cost,Utilities
wifi cost,Utilities
paid 186 towards mall,Shopping
paid 302 towards best buy,Shopping
spent on train,Transport
spent on train,Transport
spent on hospital,Healthcare
cost of snacks was 414100,Food
cleaning,Housing
went to subway and spent 118,Transport
"bus ticket today, 31k",Transport
doctor 6500,Healthcare
paid for cafe,Food
breakfast cost me 75,Food
just paid 192 for bowling,Entertainment
train 211,Transport
"apartment today, 101",Housing
"gas bill today, 116",Utilities
spent 318 on snacks,Food
paid 71 towards clothes,Shopping
161 for gas,Transport
paid 300700 towards power,Utilities
water bill 494300,Utilities
328 for gas,Transport
"pizza today, 235400",Food
went to vitamins and spent 38k,Healthcare
best buy cost,Shopping
pharmacy,Healthcare
263 for kfc,Food
cost of fuel was 267,Transport
expensive apartment 16000,Housing
lunch,Food
furniture cost,Housing
paid for steam,Entertainment
bought vitamins for 312,Healthcare
spent on trash,Utilities
cost of clothes was 326600,Shopping
got electricity - 67k,Utilities
473100 for amazon,Shopping
unknown charge,
jacket cost me 27k,Shopping
spent 422 on hospital,Healthcare
gifts cost me 117500,Shopping
paid 70k towards games,Entertainment
paid 86k for breakfast,Food
just paid 13k for plumber,Housing
just paid 486 for spotify,Entertainment
music cost me 47k,Entertainment
just paid 388 for gas bill,Utilities
"meal today, 34800",Food
"power today, 22700",Utilities
clinic cost me 425,Healthcare
"ikea today, 15100",Housing
groceries,Food
got spotify - 307,Entertainment
shirts 19500,Shopping
shirts cost me 308,Shopping
just paid 111300 for party,Entertainment
383000 for electronics,Shopping
"kfc today, 484",Food
expensive hospital 195500,Healthcare
burger cost,Food
49k for party,Entertainment
cafe cost me 442000,Food
paid 490600 towards hospital,Healthcare
spent on jacket,Shopping
paid 17k for uber,Transport
spent 84k on clinic,Healthcare
"ikea today, 13k",Housing
bought subway for 202400,Transport
cost of coffee was 7k,Food
"uber today, 330600",Transport
went to shoes and spent 176400,Shopping
paid for burger,Food
bought fuel for 191000,Transport
"rent today, 36200",Housing
expensive spotify 410,Entertainment
cinema cost me 305,Entertainment
spent 124 on home depot,Housing
paid for meal,Food
53k for ikea,Housing
97k for jacket,Shopping
paid 341 towards power,Utilities
paid 49k for coffee,Food
coffee cost,Food
supermarket cost,Food
kfc,Food
paid 479 for fuel,Transport
concert cost,Entertainment
dentist,Healthcare
paid 32k for gas bill,Utilities
target,Shopping
just paid 4k for boda,Transport
taxi cost me 1k,Transport
went to broadband and spent 290,Utilities
spent 353800 on cell plan,Utilities
got amazon - 299,Shopping
water bill cost me 496500,Utilities
just paid 17k for home depot,Housing
went to maintenance and spent 481,Housing
"uber today, 29k",Transport
just paid 56k for laptop,Shopping
therapy,Healthcare
12 for games,Entertainment
medicine cost,Healthcare
paid 329 for club,Entertainment
spent 249600 on dinner,Food
bought kfc for 248,Food
bought a laptop,Food
bought kfc for 1k,Food
vitamins 91k,Healthcare
paid 482 for lunch,Food
expensive lunch 365,Food
spent on bus ticket,Transport
bought breakfast for 69k,Food
snacks cost me 96k,Food
cost of electronics was 82k,Shopping
sneakers 98k,Shopping
steam,Entertainment
spent on home depot,Housing
dentist,Healthcare
gas,Transport
"music today, 122",Entertainment
fuel cost me 396700,Transport
spent 83k on cafe,Food
cost of cinema was 292500,Entertainment
burger cost,Food
went to hospital and spent 21k,Healthcare
bowling 479,Entertainment
spent 277800 on apartment,Housing
"burger today, 307600",Food
lunch cost me 54,Food
paid 96k for trash,Utilities
expensive shoes 100k,Shopping
paid 166700 towards rent,Housing
just paid 16k for amazon,Shopping
paid for bowling,Entertainment
paid 329 towards taxi,Transport
went to plumber and spent 86k,Housing
paid 158 for shirts,Shopping
went to lunch and spent 178200,Food
just paid 95k for bowling,Entertainment
went to snacks and spent 496,Food
paid 30k towards clinic,Healthcare
bought pharmacy for 316700,Healthcare
paid 5k for internet,Utilities
spent 85k on breakfast,Food
paid 63k for flight,Transport
cost of burger was 475,Food
got kfc - 8,Food
paid 139700 for coffee,Food
"laptop today, 323",Shopping
just paid 314 for boda,Transport
"trash today, 6",Utilities
internet,Utilities
property tax cost me 182,Housing
204500 for checkup,Healthcare
expensive coffee 76k,Food
just paid 187 for home depot,Housing
paid 66k towards water bill,Utilities
went to eye exam and spent 6k,Healthcare
taxi,Transport
spent on broadband,Utilities
asdfasdf rent asdf,Housing
electricity,Utilities
went to plumber and spent 282100,Housing
netflix cost me 43k,Entertainment
spent on theater,Entertainment
paid 9k for vitamins,Healthcare
cleaning cost,Housing
mall cost,Shopping
mall cost me 372200,Shopping
got gas - 323700,Transport
hospital bill,Entertainment
