Transaction_Date,Description,Amount_UGX,Category,Source
2026-02-24,PAID FOR KIKUUBO WHOLESALE,57300.0,Food & Groceries,Airtel Money
2025-10-31,WHT 80% SAFEBODA,41900.0,Transport,Airtel Money
2026-03-01,MOMO TRANSFER FROM MSK,4233300.0,Income/Transfers,Centenary Bank
2025-10-07,BANK TO WALLET KLA,4199100.0,Income/Transfers,MTN MoMo
2025-10-25,WHT 69% MTN AIRTIME,5200.0,Airtime & Data,Airtel Money
2025-09-08,PAID FOR MOMO TRANSFER FROM,4265200.0,Income/Transfers,MTN MoMo
2025-08-17,AGENT 8775 - MOMO TRANSFER FROM,2042500.0,Income/Transfers,MTN MoMo
2026-03-15,PAID FOR AIRTEL TOPUP,37100.0,Airtime & Data,Centenary Bank
2026-02-09,MEGA STANDARD MBALE,9100.0,Food & Groceries,MTN MoMo
2025-07-01,PAID FOR MEGA STANDARD,97600.0,Food & Groceries,Centenary Bank
2026-03-08,AGENT 5264 - JAVA HOUSE,113100.0,Dining & Drinks,Centenary Bank
2025-05-23,WHT 13% GREENHILL ACADEMY,2377500.0,Education,Centenary Bank
2025-06-12,MOMOPAY 191795 MEGA STANDARD,131600.0,Food & Groceries,Airtel Money
2025-10-21,AGENT 2928 - QUALITY SUPERMARKET,5300.0,Food & Groceries,Centenary Bank
2025-08-27,WHT 79% YY COACHES,57000.0,Transport,MTN MoMo
2025-12-03,WHT 14% BANK TO WALLET,1532000.0,Income/Transfers,Stanbic
2025-03-31,PAID FOR MOMO TRANSFER FROM,3289300.0,Income/Transfers,Stanbic
2025-06-28,WHT 74% LYCADATA,29400.0,Airtime & Data,Centenary Bank
2025-07-25,AGENT 7700 - MULTICHOICE DSTV,102200.0,Utilities,Stanbic
2025-08-22,MULTICHOICE DSTV GULU,193500.0,Utilities,Stanbic
2025-10-26,BANK TO WALLET MUK,4746600.0,Income/Transfers,Airtel Money
2025-07-04,MOMOPAY 415374 LINK BUS,47800.0,Transport,Airtel Money
2025-08-17,AGENT 9995 - LINK BUS,63900.0,Transport,Airtel Money
2025-12-11,AGENT 3351 - BANK TO WALLET,3821700.0,Income/Transfers,Stanbic
2025-08-16,POS PURCHASE LYCADATA KAMPALA,13500.0,Airtime & Data,Airtel Money
2025-06-08,AIRTEL TOPUP MBALE,27800.0,Airtime & Data,Centenary Bank
2025-07-01,MOMO TRANSFER FROM MUK,1754200.0,Income/Transfers,MTN MoMo
2025-04-09,MOMOPAY 733986 JAVA HOUSE,76300.0,Dining & Drinks,Airtel Money
2025-04-24,MOMOPAY 343258 CAFESSERIE,71200.0,Dining & Drinks,Airtel Money
2026-02-27,POS PURCHASE LYCADATA KAMPALA,16400.0,Airtime & Data,Airtel Money
2026-01-05,PAID FOR CAPITAL SHOPPERS,23800.0,Food & Groceries,Airtel Money
2026-02-14,PAID FOR AIRTEL INTERNET,120400.0,Utilities,Stanbic
2025-06-04,POS PURCHASE SALARY DEPOSIT KAMPALA,1170500.0,Income/Transfers,Stanbic
2025-04-30,MOMOPAY 570195 STANDARD HIGH,2017000.0,Education,Stanbic
2025-06-23,POS PURCHASE KIKUUBO WHOLESALE KAMPALA,27900.0,Food & Groceries,MTN MoMo
2025-04-13,POS PURCHASE BANK TO WALLET KAMPALA,1665300.0,Income/Transfers,Airtel Money
2025-07-28,WHT 66% KIKUUBO WHOLESALE,31900.0,Food & Groceries,Airtel Money
2026-02-18,AGENT 7964 - ZUKU TV,227600.0,Utilities,MTN MoMo
2025-06-14,AGENT 7121 - KFC,87700.0,Dining & Drinks,Stanbic
2025-07-14,MOMOPAY 206592 MOMO TRANSFER FROM,3223000.0,Income/Transfers,Airtel Money
2025-11-30,AGENT 2081 - LOCAL JOINT,72400.0,Dining & Drinks,Centenary Bank
2026-02-02,TOTALENERGIES KLA,41900.0,Transport,Centenary Bank
2025-05-05,MOMOPAY 695134 QUALITY SUPERMARKET,75000.0,Food & Groceries,Stanbic
2026-01-07,MTN AIRTIME MUK,13000.0,Airtime & Data,Airtel Money
2026-03-03,SAFEBODA GULU,69400.0,Transport,Airtel Money
2026-01-23,POS PURCHASE SALARY DEPOSIT KAMPALA,3403100.0,Income/Transfers,Centenary Bank
2025-04-08,SHELL ENT,73700.0,Transport,MTN MoMo
2025-04-23,AGENT 4227 - CAPITAL SHOPPERS,115000.0,Food & Groceries,Centenary Bank
2025-09-12,PAID FOR MTN AIRTIME,11100.0,Airtime & Data,Centenary Bank
2025-07-07,AGENT 3452 - YY COACHES,31700.0,Transport,Centenary Bank
2025-04-12,WHT 66% AIRTEL TOPUP,11200.0,Airtime & Data,Stanbic
2025-08-05,BANK TO WALLET KLA,3977100.0,Income/Transfers,Stanbic
2025-04-29,TOTALENERGIES GULU,75000.0,Transport,Centenary Bank
2025-11-25,PAID FOR QUALITY SUPERMARKET,72400.0,Food & Groceries,Centenary Bank
2026-01-21,SHELL MBALE,21300.0,Transport,Stanbic
2026-01-01,MOMOPAY 391018 ZUKU TV,128500.0,Utilities,Airtel Money
2025-11-25,PAID FOR CAPITAL SHOPPERS,73100.0,Food & Groceries,Airtel Money
2025-11-07,WHT 72% LYCADATA,30500.0,Airtime & Data,Stanbic
2025-05-16,PAID FOR SALARY DEPOSIT,4359700.0,Income/Transfers,Airtel Money
2025-10-27,WHT 55% BANK TO WALLET,429900.0,Income/Transfers,MTN MoMo
2026-02-22,AGENT 3928 - CARREFOUR,65000.0,Food & Groceries,Airtel Money
2025-04-20,AGENT 3733 - BANK TO WALLET,1995600.0,Income/Transfers,Airtel Money
2025-06-01,GREENHILL ACADEMY ENT,2213200.0,Education,Airtel Money
2026-03-09,POS PURCHASE SALARY DEPOSIT KAMPALA,3802700.0,Income/Transfers,Stanbic
2026-01-14,AGENT 9166 - CAPITAL SHOPPERS,147500.0,Food & Groceries,Stanbic
2025-10-08,MOMOPAY 545078 BANK TO WALLET,3850700.0,Income/Transfers,MTN MoMo
2026-01-17,AGENT 7103 - MTN AIRTIME,27700.0,Airtime & Data,MTN MoMo
